conflict_id,medicine_id,conflict_type,source_record_ids,details,status
CONFLICT-007c4f683dda7bef320544d4,MED-d77c491712e8cd2f732fd041,CROSS_SOURCE_INGREDIENT_CONFLICT,SRCR-932c858fe086dfb20df6dca3,Critical source evidence was preserved without automatic resolution.,QUARANTINED
CONFLICT-009da52d451be8a41fad283a,MED-e1f799c0f1fc7905ba8ca268,CROSS_SOURCE_INGREDIENT_CONFLICT,SRCR-1c07eab84b1190d8fbedfdbe,Critical source evidence was preserved without automatic resolution.,QUARANTINED
CONFLICT-00a5dbcfe1ec2b7a20ef7258,MED-26d020aa00defcf0a63a08da,CROSS_SOURCE_INGREDIENT_CONFLICT,SRCM-2417a12982e75e8696a4b0b7,Critical source evidence was preserved without automatic resolution.,QUARANTINED
CONFLICT-00ab3c9a61e28f36a8b9ecc8,MED-2f92ce0149ff0e1553ac9a7c,AMBIGUOUS_INGREDIENT_SEPARATOR,SRCM-07f639730b50a23e57ad2532,Critical source evidence was preserved without automatic resolution.,QUARANTINED
CONFLICT-00b8ba52c62817718bfa6c6b,MED-6d124f812508ae4a28fbbe15,AMBIGUOUS_SHARED_DENOMINATOR,SRCR-87580f0a950b76b80b8e9554,Critical source evidence was preserved without automatic resolution.,QUARANTINED
CONFLICT-00c02977af7b79f8283c3412,MED-e4374d7314a55d795a12b347,REGISTRATION_IDENTITY_CONFLICT,SRCR-e53155f2f6fbc9b56d2115b6,Critical source evidence was preserved without automatic resolution.,QUARANTINED
CONFLICT-00c06633bca806b2db61bad9,MED-6b48d85cfcb54f078f76a73f,CROSS_SOURCE_INGREDIENT_CONFLICT,SRCR-8fd0dd5a3459b518da57cd28,Critical source evidence was preserved without automatic resolution.,QUARANTINED
CONFLICT-00c7c31325539b1670fe2bd1,MED-85f56fbb6ba71e1feaa531cd,CROSS_SOURCE_INGREDIENT_CONFLICT,SRCR-be7474585168d1ce14c32d65,Critical source evidence was preserved without automatic resolution.,QUARANTINED
CONFLICT-00d2390a5686eece33146256,MED-8030f4d89579a824ef56e3f0,CROSS_SOURCE_INGREDIENT_CONFLICT,SRCM-5f5f8a09f54dcdbe1cff0db8,Critical source evidence was preserved without automatic resolution.,QUARANTINED
CONFLICT-00d5adcc727b24287db6d833,MED-d4204cf5307c9970b17464b5,AMBIGUOUS_SHARED_DENOMINATOR,SRCR-ab58d2eb257b8c3f1e8eec31,Critical source evidence was preserved without automatic resolution.,QUARANTINED
CONFLICT-00d5e3e2e7d610bfc44230a8,MED-1474fb61f25129509e7b854b,REGISTRATION_IDENTITY_CONFLICT,SRCR-849f332baac5096c636efbac,Critical source evidence was preserved without automatic resolution.,QUARANTINED
CONFLICT-00de319c90b56f8846ee0081,MED-83492ddba9efe995a683dfbb,CROSS_SOURCE_INGREDIENT_CONFLICT,SRCR-d9285ddf8e681e010a8e4d75,Critical source evidence was preserved without automatic resolution.,QUARANTINED
CONFLICT-00defb16df1b5402eea5dfc8,MED-47d6dc5878d8d342cb5af265,CROSS_SOURCE_INGREDIENT_CONFLICT,SRCR-448ad98eec6921413b2589e5,Critical source evidence was preserved without automatic resolution.,QUARANTINED
CONFLICT-00df292b73d8d202eab7d58a,MED-048756319a4ce226b81194e5,CROSS_SOURCE_INGREDIENT_CONFLICT,SRCM-0c738e962177a89c08cef277,Critical source evidence was preserved without automatic resolution.,QUARANTINED
CONFLICT-00f252abe366232742ea4148,MED-bd9ec875405c70f0c49d5405,CROSS_SOURCE_INGREDIENT_CONFLICT,SRCR-31ae531f304f4e7f0ec25d00,Critical source evidence was preserved without automatic resolution.,QUARANTINED
CONFLICT-00f2c6737df20fe4ab549807,MED-b4b71dbc693dbe492b334c82,AMBIGUOUS_SHARED_DENOMINATOR,SRCR-75c76046e27f1ba70909b673,Critical source evidence was preserved without automatic resolution.,QUARANTINED
CONFLICT-00f4b23097b6bf5280a6f251,MED-dd53728f1026bbafff0f660d,CROSS_SOURCE_INGREDIENT_CONFLICT,SRCM-2dc0a2497d0d5a009d264afc,Critical source evidence was preserved without automatic resolution.,QUARANTINED
CONFLICT-00f83d951a2463520c336e40,MED-f6c7bcd4c22c767774326bf2,CROSS_SOURCE_INGREDIENT_CONFLICT,SRCR-0fe4ee8354d3cbad2639d9b6,Critical source evidence was preserved without automatic resolution.,QUARANTINED
CONFLICT-0107440d657dfced78ec1a4c,MED-09b5482d5f45552f88353620,CROSS_SOURCE_INGREDIENT_CONFLICT,SRCR-8cc21f383dbfc3256d4f2be4,Critical source evidence was preserved without automatic resolution.,QUARANTINED
CONFLICT-0109560224df28336dd04d77,MED-1133390826a1b623f39c1922,CROSS_SOURCE_INGREDIENT_CONFLICT,SRCR-56f6a228fd29deb1fbc6a5c8,Critical source evidence was preserved without automatic resolution.,QUARANTINED
CONFLICT-011bfc95fe3f464157832c13,MED-9b04764151aa54f22eda59c7,CROSS_SOURCE_INGREDIENT_CONFLICT,SRCR-07b585039ce93a06853f463e,Critical source evidence was preserved without automatic resolution.,QUARANTINED
CONFLICT-0120c7ad50b1a3c64834f85d,MED-73249d21710926f71d9abcb7,CROSS_SOURCE_INGREDIENT_CONFLICT,SRCM-26e6c933ebfe80fda77b2ddf,Critical source evidence was preserved without automatic resolution.,QUARANTINED
CONFLICT-0121b9aaf5aa9d7f3c5920d3,MED-0d8fac9c2441a89feef49c3c,CROSS_SOURCE_INGREDIENT_CONFLICT,SRCM-685d55aeae3199702eeb1ccd,Critical source evidence was preserved without automatic resolution.,QUARANTINED
CONFLICT-0123995db99f7d2682cdf99c,MED-76e8a1c0839b8132611a9c1d,AMBIGUOUS_SHARED_DENOMINATOR,SRCR-e3e573566851ba6e86053172,Critical source evidence was preserved without automatic resolution.,QUARANTINED
CONFLICT-012adaa91d4fe28c8478918c,MED-ffd5575b9af5e477f1e3a7a6,CROSS_SOURCE_INGREDIENT_CONFLICT,SRCM-e647077ca187fbe12f6e3773,Critical source evidence was preserved without automatic resolution.,QUARANTINED
CONFLICT-013df84f7c7b75d104af4f33,MED-afdbd9412b70c2a0f5c8ae6e,CROSS_SOURCE_INGREDIENT_CONFLICT,SRCM-7a3b5036eb0ae240b8e0b5b7,Critical source evidence was preserved without automatic resolution.,QUARANTINED
CONFLICT-013fd945eaee1aa05f592564,MED-5cabeb0dd5fe21d7f901a0e6,AMBIGUOUS_COMBINATION_STRENGTH,SRCM-9bb65f145a39fc993224f864,Critical source evidence was preserved without automatic resolution.,QUARANTINED
CONFLICT-014a790f0e9305ec5a94ce3e,MED-39fc7f64d685ca3e02805901,AMBIGUOUS_SHARED_DENOMINATOR,SRCR-a4a347aaab9fb497408f0b04,Critical source evidence was preserved without automatic resolution.,QUARANTINED
CONFLICT-014b5409909935bf8d62e0e2,MED-567184b7480ff9f4ddc70c08,CROSS_SOURCE_INGREDIENT_CONFLICT,SRCR-e1e930ea01cf99281deb6285,Critical source evidence was preserved without automatic resolution.,QUARANTINED
CONFLICT-0152ea8b9f8e1e45f357913f,MED-82c132a2320bc841d3b03131,AMBIGUOUS_SHARED_DENOMINATOR,SRCR-a82df16da1a528ac2c13004e,Critical source evidence was preserved without automatic resolution.,QUARANTINED
CONFLICT-015468240a438b49629ecf5e,MED-5a3db24ba67dde0f23db7826,AMBIGUOUS_SHARED_DENOMINATOR,SRCR-08849ea07fcd3bd19eac2fda,Critical source evidence was preserved without automatic resolution.,QUARANTINED
CONFLICT-015e2347ef7b03131ccb1ced,MED-8cb98e642b8b97283c49132a,AMBIGUOUS_INGREDIENT_SEPARATOR,SRCM-08954852a2f98393b3ca3633,Critical source evidence was preserved without automatic resolution.,QUARANTINED
CONFLICT-0162418fc492afd946ee8b9d,MED-0374377a9c7ce9a251bcdc46,CROSS_SOURCE_INGREDIENT_CONFLICT,SRCR-7ab328c31d4fabf29c95704d,Critical source evidence was preserved without automatic resolution.,QUARANTINED
CONFLICT-01703747d2670174d102600f,MED-3eeae17dc1a365ca0bbe361b,CROSS_SOURCE_INGREDIENT_CONFLICT,SRCR-ab93f8cb31d3efee403a70e2,Critical source evidence was preserved without automatic resolution.,QUARANTINED
CONFLICT-017136f028b35fc8d0e58be2,MED-9a49b7448f1c6e38cd52bde3,CROSS_SOURCE_INGREDIENT_CONFLICT,SRCR-2e8c0076e2f678127b8c32f7,Critical source evidence was preserved without automatic resolution.,QUARANTINED
CONFLICT-01769a11b81e40146393afca,MED-b397bf3ea05878e5e4c5c012,CROSS_SOURCE_INGREDIENT_CONFLICT,SRCM-923f5341dab956e66da60562,Critical source evidence was preserved without automatic resolution.,QUARANTINED
CONFLICT-017942e2efe8fa7417af85c7,MED-52c6874f4175e1b70e996918,AMBIGUOUS_SHARED_DENOMINATOR,SRCR-2532102069c26c920562b89b,Critical source evidence was preserved without automatic resolution.,QUARANTINED
CONFLICT-0198d74a2e48e35d68b2bd44,MED-1cb2d356ad08c99293b00f53,AMBIGUOUS_SHARED_DENOMINATOR,SRCR-59b2b7cba3c5fe75aafbbfd6,Critical source evidence was preserved without automatic resolution.,QUARANTINED
CONFLICT-01aaab4a7627ffb3e27bbbd3,MED-520ec997703e4b262d09dce1,AMBIGUOUS_SHARED_DENOMINATOR,SRCR-615750dfd430b70bd8cd66bd;SRCR-8509598b6c3de639dd1f0594,Critical source evidence was preserved without automatic resolution.,QUARANTINED
CONFLICT-01ac4e9b0cdce10a10a7630e,MED-89b10ccc5bd65ddb2fb9aaf1,CROSS_SOURCE_INGREDIENT_CONFLICT,SRCR-9dd169f043e29bc7691dfd67,Critical source evidence was preserved without automatic resolution.,QUARANTINED
CONFLICT-01b0299ef96102ea18bdfd88,MED-b8583ddf145f68185d306175,AMBIGUOUS_COMBINATION_STRENGTH,SRCM-52e55046a7813c683968a88f,Critical source evidence was preserved without automatic resolution.,QUARANTINED
CONFLICT-01b8077e8182d3f0f480e940,MED-26984bb9c525c913939a7115,CROSS_SOURCE_INGREDIENT_CONFLICT,SRCR-36b43882c3d0e41a9bd1beb0,Critical source evidence was preserved without automatic resolution.,QUARANTINED
CONFLICT-01ba7244091c6ac8a8b55a37,MED-f7a2c502df80e2795473a02b,CROSS_SOURCE_INGREDIENT_CONFLICT,SRCR-b8a8c95aae0354d4ad85db7d,Critical source evidence was preserved without automatic resolution.,QUARANTINED
CONFLICT-01c026c77a9e04d36cf337d5,MED-685f7f2cc569f8fd3b5c67b9,CROSS_SOURCE_INGREDIENT_CONFLICT,SRCR-9f3f1e53b102b78403994ef0,Critical source evidence was preserved without automatic resolution.,QUARANTINED
CONFLICT-01cf49c6a3a6d055ed66cd8f,MED-80e39ebcd9f44e5562507344,CROSS_SOURCE_INGREDIENT_CONFLICT,SRCR-24f78fc596552eca75f499cb,Critical source evidence was preserved without automatic resolution.,QUARANTINED
CONFLICT-01d49b2135a090f692daedeb,MED-58e8c7af65f470a5956d50f1,REGISTRATION_IDENTITY_CONFLICT,SRCR-21933023480a03ce2330779a,Critical source evidence was preserved without automatic resolution.,QUARANTINED
CONFLICT-01df67624c598ad37e2a33eb,MED-b90fb6ad3f132d269e8a28f9,AMBIGUOUS_SHARED_DENOMINATOR,SRCR-76c2d872c00d2f3e5b07430f,Critical source evidence was preserved without automatic resolution.,QUARANTINED
CONFLICT-01e886fcfa8e444b2b76f9cd,MED-659146e535b2a507d77b1774,CROSS_SOURCE_INGREDIENT_CONFLICT,SRCM-1cf3011fcb01f1a26b472c89,Critical source evidence was preserved without automatic resolution.,QUARANTINED
CONFLICT-01f1246d73410f88c4cdc846,MED-ba0f2d7a94314320384d9a11,CROSS_SOURCE_INGREDIENT_CONFLICT,SRCR-a78cde3fbdee09070b1dae8e,Critical source evidence was preserved without automatic resolution.,QUARANTINED
CONFLICT-01fbd176973e0d8a90596138,MED-ea3a027a317d8d4ed919bb37,CROSS_SOURCE_INGREDIENT_CONFLICT,SRCR-372b17e0dfce3baa2927653d,Critical source evidence was preserved without automatic resolution.,QUARANTINED
CONFLICT-021de4ca97a4b20f5fbbf0f6,MED-557a14615e7f276a612b6031,CROSS_SOURCE_INGREDIENT_CONFLICT,SRCR-fdcb39f2390e116bd708de8e,Critical source evidence was preserved without automatic resolution.,QUARANTINED
CONFLICT-0229bef1fa2c215ca437a614,MED-1596100a7ef589d32e86f862,AMBIGUOUS_COMBINATION_STRENGTH,SRCM-a42c8c33c7bb0231d237be1d,Critical source evidence was preserved without automatic resolution.,QUARANTINED
CONFLICT-022f2da6e487445788eb55d0,MED-3c67dd3d95fc9f15732b1c4a,CROSS_SOURCE_INGREDIENT_CONFLICT,SRCM-138a5d3ade24ea0be67dd69d,Critical source evidence was preserved without automatic resolution.,QUARANTINED
CONFLICT-022f7b55b777fef10e52eb10,MED-e0686175372711a45f6b6e29,CROSS_SOURCE_INGREDIENT_CONFLICT,SRCM-4030af502e979d57ae74e997,Critical source evidence was preserved without automatic resolution.,QUARANTINED
CONFLICT-023753fced58e6b9ee4cf952,MED-3ad4f7bbf4b6ae9c3cd971d3,CROSS_SOURCE_INGREDIENT_CONFLICT,SRCR-1d3fcbef432885494af9e1cd,Critical source evidence was preserved without automatic resolution.,QUARANTINED
CONFLICT-024080bb279b3f95644685ab,MED-4bac56f19734ee1563c009ce,AMBIGUOUS_SHARED_DENOMINATOR,SRCR-ba6b61fbae8bca69660a593a,Critical source evidence was preserved without automatic resolution.,QUARANTINED
CONFLICT-0248c8aefe336fe016d769a4,MED-fa14508db5b9c2098c65782c,CROSS_SOURCE_INGREDIENT_CONFLICT,SRCM-464632c8d5be4275d0d5d889,Critical source evidence was preserved without automatic resolution.,QUARANTINED
CONFLICT-024baae9f455e2db9e743fbd,MED-aed047e91df6d6202f53c573,AMBIGUOUS_SHARED_DENOMINATOR,SRCR-8e0bcbae9eb0fab027d5bd1e,Critical source evidence was preserved without automatic resolution.,QUARANTINED
CONFLICT-0259f956fb696f32abc4a4ad,MED-2b9f93e85d5b77ccdf7f8211,CROSS_SOURCE_INGREDIENT_CONFLICT,SRCM-a57877b2cdd1637660fb4c99,Critical source evidence was preserved without automatic resolution.,QUARANTINED
CONFLICT-0263bdc2ae792a47bd07b36f,MED-a349485583bbba4a9d6aab47,CROSS_SOURCE_INGREDIENT_CONFLICT,SRCM-8c848417fc5460c299387ab3,Critical source evidence was preserved without automatic resolution.,QUARANTINED
CONFLICT-02648d53f6ebcffb8e73e542,MED-06603e6ec9caec5c61920478,CROSS_SOURCE_INGREDIENT_CONFLICT,SRCR-fb31eee82fb94b2edbd87571,Critical source evidence was preserved without automatic resolution.,QUARANTINED
CONFLICT-027cd0843fa8f950e4577d52,MED-3e34d6e0d515b4935f5fe1af,CROSS_SOURCE_INGREDIENT_CONFLICT,SRCR-2302d1d95777d4c2e53c7808,Critical source evidence was preserved without automatic resolution.,QUARANTINED
CONFLICT-0287771c7895417d267e66cd,MED-003cd11a9f2effa766addaa2,CROSS_SOURCE_INGREDIENT_CONFLICT,SRCM-21a2694291ff5d5b9b163479,Critical source evidence was preserved without automatic resolution.,QUARANTINED
CONFLICT-028851ca9556ecf2dcf5c59a,MED-798f423706cb59f5bd620dde,AMBIGUOUS_SHARED_DENOMINATOR,SRCR-34e2632daac0764dc2ee3292,Critical source evidence was preserved without automatic resolution.,QUARANTINED
CONFLICT-0289e16c98c7308e393e7ddf,MED-a775937c04932fa53c11ce01,AMBIGUOUS_COMBINATION_STRENGTH,SRCM-37d3a0c5a39807690cdd4d20,Critical source evidence was preserved without automatic resolution.,QUARANTINED
CONFLICT-028a08329686cf3ce3ab791e,MED-52a040b876f782255a79f7e7,AMBIGUOUS_SHARED_DENOMINATOR,SRCR-2f4de72874cf89aab3872589,Critical source evidence was preserved without automatic resolution.,QUARANTINED
CONFLICT-02a12a63311e8d9d26a1c403,MED-f209314ad77c85a00d809f48,AMBIGUOUS_SHARED_DENOMINATOR,SRCR-0802f6af089470812c5a522a,Critical source evidence was preserved without automatic resolution.,QUARANTINED
CONFLICT-02a37ca37c4ea4ca0c8f4c0b,MED-ac27d06cda36478a9a25dedf,CROSS_SOURCE_INGREDIENT_CONFLICT,SRCR-ab3785b5e322158e485bc1b2,Critical source evidence was preserved without automatic resolution.,QUARANTINED
CONFLICT-02a5eb663b17784894a311e0,MED-f64eb8318756568d6c49c78c,CROSS_SOURCE_INGREDIENT_CONFLICT,SRCM-c4b17889f4e936f70cda191f,Critical source evidence was preserved without automatic resolution.,QUARANTINED
CONFLICT-02aa9285a906927dedc1c123,MED-8f767e0a03de4c3cd295a137,CROSS_SOURCE_INGREDIENT_CONFLICT,SRCR-3b88a7df07fc7e66bcb24413,Critical source evidence was preserved without automatic resolution.,QUARANTINED
CONFLICT-02ac94b5b092143a88c1d9f0,MED-a1e10a1b3d6a2bcf649bcf3b,CROSS_SOURCE_INGREDIENT_CONFLICT,SRCR-fdf5d198ef7786d07d1cf42b,Critical source evidence was preserved without automatic resolution.,QUARANTINED
CONFLICT-02ba90ce344201b7196259ec,MED-57c62e1ed7379c754ee8a1af,CROSS_SOURCE_INGREDIENT_CONFLICT,SRCM-bf6a6f9fbde9f08fd4430df6,Critical source evidence was preserved without automatic resolution.,QUARANTINED
CONFLICT-02be3377debb0086d7c7ebca,MED-067007af089ef1a46e38dc24,CROSS_SOURCE_INGREDIENT_CONFLICT,SRCR-622e5cc88b8775c210d8905a,Critical source evidence was preserved without automatic resolution.,QUARANTINED
CONFLICT-02bebf0166fd56fffde43835,MED-b365a78ec109c06210965c8e,CROSS_SOURCE_INGREDIENT_CONFLICT,SRCM-57834d8973932f78246b87b9,Critical source evidence was preserved without automatic resolution.,QUARANTINED
CONFLICT-02bf5689ff09b71be4dcdf63,MED-600c005017c7d9c469839432,AMBIGUOUS_SHARED_DENOMINATOR,SRCR-c8e6b1a7842e5139ee6fdc0f,Critical source evidence was preserved without automatic resolution.,QUARANTINED
CONFLICT-02c38993c3b870e2d66948fa,MED-990c43b36f25bf73c68ada14,REGISTRATION_IDENTITY_CONFLICT,SRCR-698d13074cdb186d8c6a2875,Critical source evidence was preserved without automatic resolution.,QUARANTINED
CONFLICT-02c6540dd0386fbb4d9ad8db,MED-6918474a7c2004acb6e930b5,CROSS_SOURCE_INGREDIENT_CONFLICT,SRCR-dd1395932ee5162dc14daf8f,Critical source evidence was preserved without automatic resolution.,QUARANTINED
CONFLICT-02cf309bfaa2f9d06f9a7e17,MED-8fc09c41f37be80d4e665886,CROSS_SOURCE_INGREDIENT_CONFLICT,SRCR-2973aaceb2741580b8c2ff9a,Critical source evidence was preserved without automatic resolution.,QUARANTINED
CONFLICT-02d22fa4724aa5a7f95c3311,MED-faae15a103f682c81ceefddc,AMBIGUOUS_SHARED_DENOMINATOR,SRCR-f278aa3f6a274d116ae84733,Critical source evidence was preserved without automatic resolution.,QUARANTINED
CONFLICT-02d4893e10c9e063bd990180,MED-687733a49d2639c9d16b49b5,CROSS_SOURCE_INGREDIENT_CONFLICT,SRCR-ff440d87115b25c919953e32,Critical source evidence was preserved without automatic resolution.,QUARANTINED
CONFLICT-02e5907c3dc5a37a171d2720,MED-f613a9aff90c471d20c9a01c,CROSS_SOURCE_INGREDIENT_CONFLICT,SRCM-0ec342db89884d7f903da525,Critical source evidence was preserved without automatic resolution.,QUARANTINED
CONFLICT-02e6850c5da040c360178be9,MED-454161c47fa749c988177209,AMBIGUOUS_SHARED_DENOMINATOR,SRCR-7410057f9fe9d7f0d8e193b0,Critical source evidence was preserved without automatic resolution.,QUARANTINED
CONFLICT-02e87fcfd8816151266a0908,MED-2b76eb43df025285bddea9cd,CROSS_SOURCE_INGREDIENT_CONFLICT,SRCM-ed105f3f893f161f9eee74f6,Critical source evidence was preserved without automatic resolution.,QUARANTINED
CONFLICT-02f05e800a38578726ad0ba6,MED-7a2f99d3b814dcecd3370c57,CROSS_SOURCE_INGREDIENT_CONFLICT,SRCR-3a5b3f7a84460bb18870a70d,Critical source evidence was preserved without automatic resolution.,QUARANTINED
CONFLICT-02f1e1d93ef34cae52b854fa,MED-5284148bf0b89d4f5084a0df,AMBIGUOUS_SHARED_DENOMINATOR,SRCR-3677d22199360ecf58fd4232,Critical source evidence was preserved without automatic resolution.,QUARANTINED
CONFLICT-02f3c61475c4cee564ec08b8,MED-ef4a2a554e2b374a8c12c54c,AMBIGUOUS_SHARED_DENOMINATOR,SRCR-7585eaccb70a5b9819a823fb,Critical source evidence was preserved without automatic resolution.,QUARANTINED
CONFLICT-02f748085c6e2a3865113445,MED-0247402901f8a6dfdf69ff29,REGISTRATION_IDENTITY_CONFLICT,SRCR-e36ac7d203eb6975b0d510fe,Critical source evidence was preserved without automatic resolution.,QUARANTINED
CONFLICT-02f79cce5184b5cd04249bd7,MED-43189f96bc59c4e6ed2eef8c,CROSS_SOURCE_INGREDIENT_CONFLICT,SRCR-72e23d04a486f5b345c2661a,Critical source evidence was preserved without automatic resolution.,QUARANTINED
CONFLICT-02f8c115edce75714358137e,MED-3b09a659973959fc8c9c9212,AMBIGUOUS_SHARED_DENOMINATOR,SRCR-117fec0a797de8e230f083a5,Critical source evidence was preserved without automatic resolution.,QUARANTINED
CONFLICT-03043f5c268487aac67e0844,MED-b50dc4831fdf558c91e45276,AMBIGUOUS_SHARED_DENOMINATOR,SRCR-f88f686ca64670cbadb661fc,Critical source evidence was preserved without automatic resolution.,QUARANTINED
CONFLICT-030aa2030ab14faa50022d79,MED-3372ea8206623ad40b94801b,AMBIGUOUS_SHARED_DENOMINATOR,SRCR-26a609d219773ac227aa89d2,Critical source evidence was preserved without automatic resolution.,QUARANTINED
CONFLICT-030b5105669b5ac4486cc98f,MED-93e0c438b16e2a3444b8ea08,AMBIGUOUS_SHARED_DENOMINATOR,SRCR-dbbd36510e3d137997645b09,Critical source evidence was preserved without automatic resolution.,QUARANTINED
CONFLICT-031833b94fbc921aefebe9d0,MED-a7772a29129c9c5c3a41cc9f,CROSS_SOURCE_INGREDIENT_CONFLICT,SRCM-8373b60d87b97e0b49d612dd,Critical source evidence was preserved without automatic resolution.,QUARANTINED
CONFLICT-032102269d2b345b39909b0a,MED-6e8991fb0aa3c9b6c68ece55,AMBIGUOUS_SHARED_DENOMINATOR,SRCR-07641791acdfce14fb7cfbdb,Critical source evidence was preserved without automatic resolution.,QUARANTINED
CONFLICT-032c818a1610c1ceb2999180,MED-bc21d81c1cacfccf17bb2db0,CROSS_SOURCE_INGREDIENT_CONFLICT,SRCR-f9caf5117cf03f720a19a042,Critical source evidence was preserved without automatic resolution.,QUARANTINED
CONFLICT-033319cd1faf786604707ebf,MED-f1617dfb9869c465a9b72604,CROSS_SOURCE_INGREDIENT_CONFLICT,SRCM-83bae7c7f7cf54c780dd85f8,Critical source evidence was preserved without automatic resolution.,QUARANTINED
CONFLICT-03366378453da61bf74cde6c,MED-fe676292c54181e10db2511c,AMBIGUOUS_SHARED_DENOMINATOR,SRCR-3c9aafa23ef76a50d0dec64c,Critical source evidence was preserved without automatic resolution.,QUARANTINED
CONFLICT-0337231f7cbbc42152808ef3,MED-d5a5ab64f6498e6b6a43a12e,CROSS_SOURCE_INGREDIENT_CONFLICT,SRCM-eb7597446977170296e9120e,Critical source evidence was preserved without automatic resolution.,QUARANTINED
CONFLICT-0339539a408be2332375f168,MED-cd6a762b7ebc000015fa7576,CROSS_SOURCE_INGREDIENT_CONFLICT,SRCR-998a6b56002272bc36ef2b6b,Critical source evidence was preserved without automatic resolution.,QUARANTINED
CONFLICT-0340ec07063f8c4056679e0f,MED-e6e362d7a73edaf01cd9e8a9,AMBIGUOUS_SHARED_DENOMINATOR,SRCR-70751fec95cd181504e8065e,Critical source evidence was preserved without automatic resolution.,QUARANTINED
CONFLICT-034dc22f3a23156960b8e9aa,MED-4aadfb10bca372f2ce4c9ca1,AMBIGUOUS_SHARED_DENOMINATOR,SRCR-6eb7c4731fc2fa0d1b96bcdd,Critical source evidence was preserved without automatic resolution.,QUARANTINED
CONFLICT-034e0e30f38d7ae4cd392232,MED-e8b402a93eaf77647b39abd2,CROSS_SOURCE_INGREDIENT_CONFLICT,SRCM-05ed8afea91f9379d0481618,Critical source evidence was preserved without automatic resolution.,QUARANTINED
CONFLICT-035232775d031f0310c77b9b,MED-bd1f3ce283941e305d10078c,CROSS_SOURCE_INGREDIENT_CONFLICT,SRCM-ae9aae32f442d3c77d03da04,Critical source evidence was preserved without automatic resolution.,QUARANTINED
CONFLICT-0358f22e757aa198cd905b0a,MED-c5150c74a8a1b1cea39a6ce0,AMBIGUOUS_SHARED_DENOMINATOR,SRCR-c63e231920b7af5711818201,Critical source evidence was preserved without automatic resolution.,QUARANTINED
CONFLICT-03673bd10886d767b8765712,MED-be7433a77ac82252c14e56af,CROSS_SOURCE_INGREDIENT_CONFLICT,SRCM-bb480bbf80cbc7895286720f,Critical source evidence was preserved without automatic resolution.,QUARANTINED
